STATION,BOTTLE,Oscillatoriaceae (family),Cryptomonadaceae (family),HAPTOPHYCEAE (division),EUGLENOPHYCEAE ,PRASINOPHYCEAE (class),Diatoms,Dinoflagellates
A1,S,0,960,5760,0,0,640,1200
A1,1,0,0,17280,0,0,160,2000
A1,3,0,0,4320,0,0,80,0
A1,5,0,320,2880,0,0,80,1920
A1,9,0,0,2160,0,0,240,1440
A2,S,0,720,6480,0,0,80,1440
A2,1,0,0,15360,0,0,4080,80
A2,3,0,0,9840,0,960,160,1920
A2,5,0,0,9600,0,0,80,160
A2,9,0,0,1440,0,0,480,1440
A3,S,0,2880,8640,0,1920,80,1360
A3,1,0,960,7920,0,0,160,720
A3,3,0,0,6480,0,0,240,800
A3,5,0,720,5040,0,0,80,80
A3,9,0,0,720,0,0,1760,0
A4,S,0,720,7920,0,0,0,3040
A4,1,0,0,2880,0,720,240,2160
A4,3,0,0,4800,0,0,160,0
A4,5,0,0,4320,0,0,0,80
A4,9,0,720,1440,0,0,0,80
A5,S,0,720,13680,0,0,80,3760
A5,1,0,720,12240,0,720,960,1520
A5,3,0,720,10800,0,0,720,5920
A5,5,0,1440,2160,0,0,0,1520
A5,9,0,0,2160,0,0,80,720
A6,S,0,0,9600,0,960,80,4000
A6,1,0,0,6480,0,720,480,1520
A6,3,0,1440,11520,0,0,2320,3680
A6,5,0,720,5040,0,0,80,0
A6,9,0,1920,2880,0,0,80,1040
A7,1,0,0,6480,0,0,2880,1760
A7,3,0,0,10080,0,0,0,2960
A7,5,0,0,9760,0,80,0,880
A7,9,0,0,1440,0,0,0,160
A8,S,0,720,7200,0,0,0,80
A8,1,0,0,9600,0,0,80,1440
A8,3,0,0,19440,0,720,2160,720
A8,5,0,720,5760,80,0,0,80
A8,9,0,0,5040,0,0,80,720
B9,S,0,0,13440,0,0,240,240
B9,1,0,0,13680,80,0,480,1120
B9,3,0,0,7200,0,0,400,160
B9,5,0,720,1440,0,0,80,240
B9,9,0,0,960,0,0,560,560
B10,S,0,0,4320,0,720,2160,80
B10,1,0,0,1920,0,960,320,1920
B10,3,0,0,2160,0,0,80,0
B10,5,0,0,1920,0,0,1120,80
B10,9,0,0,2880,0,0,720,400
B11,S,2560,0,6720,0,0,1520,5840
B11,1,0,720,25920,0,0,880,1200
B11,3,0,0,10080,0,720,160,720
B11,5,0,720,1440,0,0,560,80
B11,9,0,0,2160,0,0,80,1520
B12,S,0,0,6480,0,2160,2960,3680
B12,1,0,0,7920,0,0,2480,4560
B12,3,0,0,5040,0,0,0,880
B12,5,0,0,9360,0,0,320,80
B12,9,0,0,5760,0,0,2560,160
B13,S,4960,0,12240,0,0,0,3600
B13,1,0,720,11520,720,2160,0,3280
B13,3,0,0,8640,0,0,80,720
B13,5,0,480,1920,0,480,2000,1520
B13,9,0,0,2880,0,0,320,0
B14,S,4320,1440,12960,0,1440,2160,4080
B14,1,5600,720,14400,0,0,960,3760
B14,3,0,720,17280,0,0,800,3760
B14,5,0,720,18720,0,0,80,2880
B14,9,0,0,2880,0,0,80,720
B15,S,3840,960,18720,0,0,5840,2800
B15,1,0,960,36480,0,0,80,3280
B15,3,0,0,30720,0,1920,2960,4080
B15,5,0,0,17280,0,0,0,240
B15,9,0,0,2160,0,0,160,1520
B16,S,0,0,7920,0,0,1920,3120
B16,1,0,2160,11520,0,0,3600,720
B16,3,0,0,8640,0,0,4480,2400
B16,5,0,720,6480,0,0,80,3040
B16,9,0,0,3600,0,0,0,720
C17,S,0,0,15840,0,0,0,2320
C17,1,0,0,9360,0,0,720,1600
C17,3,0,0,16320,0,0,160,3840
C17,5,0,960,10080,0,0,0,1520
C17,9,0,0,15120,0,0,2560,2240
C18,S,0,0,11520,0,0,2400,3120
C18,1,0,0,5760,0,0,1520,1040
C18,3,0,0,1440,0,0,720,560
C18,5,0,0,3840,0,0,960,80
C18,9,0,0,2400,0,480,0,1040
C19,S,0,720,15840,0,0,7200,4240
C19,1,0,1440,7200,720,0,800,1520
C19,3,0,0,10080,0,0,1520,1520
C19,5,0,0,2160,0,0,3440,800
C19,9,0,0,960,0,0,0,560
C20,S,0,0,4320,0,0,1440,1680
C20,1,0,720,7200,0,0,2880,2160
C20,3,0,0,2052,0,0,114,684
C20,5,0,0,2880,0,0,0,80
C20,9,0,1092,364,0,0,3276,3276
C21,S,0,0,2880,0,0,720,800
C21,1,0,960,10560,0,0,0,2080
C21,3,0,720,5040,0,0,880,720
C21,5,0,80,1440,0,0,720,80
C21,9,0,0,480,0,0,0,160
C22,S,0,0,1440,0,0,240,5520
C22,1,0,0,14400,0,0,1440,3120
C22,3,0,0,15120,0,0,80,4160
C22,5,0,720,5040,0,0,560,2160
C22,9,0,720,720,80,0,800,1600
C23,S,0,1440,6480,0,0,3600,5200
C23,1,0,0,9360,0,0,1440,2480
C23,3,0,720,9360,0,720,0,1520
C23,5,0,160,4320,0,0,0,720
C24,S,0,0,5040,0,720,800,2960
C24,3,0,0,10080,0,720,0,240
C24,5,0,720,13680,0,0,2880,1520
C24,9,0,0,2160,0,0,0,720
C25,S,0,720,37440,0,720,1520,10960
C25,1,0,720,31680,0,0,880,9440
C25,5,0,0,10800,0,0,800,800
C25,9,0,1440,720,0,0,720,800
D26,S,6000,0,11700,0,0,4000,2000
D26,3,0,0,6300,0,0,1200,100
D26,5,0,0,15300,0,0,1700,900
D26,9,4200,900,2700,0,0,300,1800
D27,S,3000,2400,15600,0,0,3600,1400
D27,1,0,0,17100,0,0,1900,2700
D27,3,1800,900,16200,0,0,200,100
D27,9,0,0,2700,0,0,1300,100
D28,S,0,900,30600,0,0,3000,1900
D28,1,0,2700,33300,0,0,700,5500
D28,5,0,0,18900,0,0,3800,100
D28,9,0,900,9900,0,0,200,100
D29,S,0,0,18900,0,0,800,4900
D29,1,0,900,9900,0,0,3600,1900
D29,9,0,1800,2700,0,0,1200,100
D30,S,0,900,10800,0,0,7300,2800
D30,1,0,0,9000,0,0,900,5500
D30,3,0,900,15300,0,0,1300,100
D30,9,0,900,900,0,0,0,200
D31,S,0,900,5000,0,0,4700,700
D31,1,0,0,12600,0,0,2300,2800
D31,3,0,0,30600,0,0,3300,1900
D31,9,0,0,0,0,0,500,0
D32,S,0,3600,17100,0,1800,2700,4800
D32,1,0,0,14400,0,0,100,1800
D32,3,0,0,11700,0,0,900,100
D32,9,0,1800,1800,0,900,3800,0
D33,S,0,5400,14600,0,900,3700,3000
D33,1,0,1800,14400,0,0,1100,6400
D33,3,0,0,11700,0,0,500,2000
D33,9,0,0,900,100,0,2000,0
E34,S,6000,2400,2400,0,0,5200,9600
E34,1,1500,0,9600,0,1200,300,0
E34,3,0,2400,13200,0,0,100,100
E34,5,0,0,2700,0,0,300,1800
E34,9,0,900,3600,100,0,400,0
E35,S,0,0,18000,0,0,4600,7200
E35,1,0,0,33600,0,0,9200,200
E35,3,0,0,12000,0,0,100,0
E35,9,0,0,4200,0,0,1200,0
E36,S,0,900,22500,0,0,2900,1100
E36,1,12400,0,26400,0,0,1600,5000
E36,3,0,0,45600,0,0,3000,0
E36,5,0,2400,16800,0,200,400,200
E37,S,0,1200,15600,0,0,2500,1300
E37,1,0,1200,12000,0,0,100,500
E37,3,0,0,19200,200,0,800,0
E37,5,0,0,19200,0,0,400,0
E37,9,0,900,6300,0,0,100,900
E38,S,0,0,13500,0,0,2500,1000
E38,1,0,0,5400,0,900,600,0
E38,3,0,0,8400,0,0,2700,0
E38,5,0,900,9000,0,0,3500,0
E38,9,0,0,4800,0,0,0,200
E39,S,0,900,7200,0,0,10200,900
E39,1,0,0,9600,0,0,1000,2400
E39,3,0,200,4800,0,0,100,200
E39,5,0,0,16200,0,0,200,900
E39,9,0,2400,7200,0,0,200,3200
E40,S,0,0,1800,0,0,3300,900
E40,1,5600,0,9600,0,0,1400,200
E40,3,0,0,9900,0,0,600,900
E40,5,0,2400,28800,200,0,4000,0
E40,9,0,2400,7200,0,0,1700,1300
E41,S,0,900,7200,0,0,100,1000
E41,1,0,0,6300,0,0,1200,200
E41,3,1500,0,10800,0,0,0,1300
E41,5,0,2400,1200,0,1200,1500,1400
E41,9,0,4800,2400,0,0,200,200
